Round,expt_n,environment_info,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
1,12,PHM C01 MS NBD,0.7219,0.6000,0.6522,0.6912,0.1025,0.1027,0.0961,0.0971,0.5138,0.5950,0.5490,0.5268,0.0270,0.0985,0.0549,0.0356,0.9357,0.2700,0.4173,0.6228,0.0833,0.0422,0.0535,0.0594,0.4200,0.1400,0.2064,0.2929,0.1550,0.0699,0.0941,0.1204,models/1_12_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_13-27.mdl,170.9099,23.5280,2.1117,19.7782
1,13,PHM C04 MS NBD,0.7167,0.1150,0.1919,0.3282,0.4010,0.0851,0.1328,0.2046,0.5082,0.8850,0.6452,0.5553,0.0206,0.0709,0.0341,0.0246,0.5065,0.9800,0.6678,0.5606,0.0154,0.0350,0.0206,0.0170,0.4516,0.3500,0.3899,0.4231,0.0705,0.1054,0.0851,0.0730,models/1_13_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_13-31.mdl,174.4267,22.3609,1.8048,13.0745
1,14,PHM C06 MS NBD,0.5000,0.0300,0.0563,0.1190,0.5270,0.0350,0.0647,0.1331,0.5261,0.8450,0.6475,0.5686,0.0504,0.0864,0.0584,0.0527,0.4922,0.9300,0.6436,0.5434,0.0129,0.0258,0.0143,0.0133,0.4630,0.2900,0.3528,0.4096,0.1189,0.0907,0.0947,0.1020,models/1_14_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_13-35.mdl,188.1761,19.4428,1.6468,12.8790
2,0,Simulated NBD,0.7974,1.0000,0.8871,0.8310,0.0236,0.0000,0.0146,0.0205,0.5327,0.5350,0.5315,0.5317,0.0957,0.1270,0.1057,0.0983,0.5013,0.9900,0.6655,0.5562,0.0073,0.0211,0.0099,0.0080,0.5943,0.5100,0.5470,0.5738,0.0854,0.0738,0.0725,0.0779,models/2_0_Dasic_NoNBD__RF_Model_28-Jun-2023_13-38.mdl,64.0793,24.8012,1.1500,12.4045
2,1,Simulated LBD,0.9671,0.9950,0.9805,0.9723,0.0312,0.0158,0.0152,0.0243,0.5488,0.6650,0.5991,0.5675,0.0690,0.1029,0.0742,0.0692,0.4598,0.8300,0.5916,0.5048,0.0079,0.0350,0.0135,0.0092,0.1450,0.0300,0.0494,0.0812,0.1767,0.0350,0.0579,0.0963,models/2_1_Dasic_LowNBD__RF_Model_28-Jun-2023_13-40.mdl,61.2214,20.6608,1.4926,14.1054
2,2,Simulated HBD,0.9672,0.8600,0.9096,0.9431,0.0376,0.0516,0.0365,0.0334,0.4509,0.4350,0.4405,0.4460,0.1245,0.1684,0.1467,0.1333,0.4495,0.8000,0.5756,0.4927,0.0066,0.0000,0.0054,0.0063,0.3600,0.0850,0.1363,0.2152,0.2624,0.0626,0.0988,0.1540,models/2_2_Dasic_HighNBD__RF_Model_28-Jun-2023_13-42.mdl,54.1856,24.7629,1.3668,14.2923
2,3,PHM C01 SS NBD,0.9812,0.5350,0.6883,0.8360,0.0405,0.0944,0.0839,0.0601,0.5321,0.9200,0.6740,0.5810,0.0219,0.0422,0.0252,0.0228,0.2500,0.0200,0.0368,0.0744,0.4249,0.0350,0.0640,0.1280,0.5275,0.7800,0.6286,0.5637,0.0406,0.0753,0.0488,0.0428,models/2_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_13-43.mdl,188.0141,13.8982,1.2325,14.5988
2,4,PHM C01 SS LBD,0.7527,0.9850,0.8529,0.7897,0.0230,0.0242,0.0154,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3500,0.0250,0.0463,0.0952,0.4743,0.0354,0.0650,0.1315,0.5217,0.4700,0.4907,0.5077,0.0578,0.1135,0.0863,0.0685,models/2_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_13-47.mdl,150.4362,21.2963,1.6418,17.2597
2,5,PHM C01 SS HBD,0.8562,0.7250,0.7822,0.8242,0.0642,0.0890,0.0636,0.0592,0.5000,1.0000,0.6667,0.5556,0.0000,0.0000,0.0000,0.0000,0.3667,0.0250,0.0460,0.0938,0.4830,0.0354,0.0635,0.1247,0.5228,0.3900,0.4442,0.4873,0.1163,0.1075,0.1077,0.1108,models/2_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_13-50.mdl,107.6430,26.0537,1.4252,15.4916
2,6,PHM C04 SS NBD,0.7676,0.9950,0.8660,0.8041,0.0437,0.0158,0.0292,0.0387,0.4732,0.2750,0.3406,0.4054,0.1352,0.1137,0.1182,0.1229,0.2500,0.0150,0.0281,0.0595,0.4249,0.0242,0.0453,0.0962,0.4979,0.1100,0.1769,0.2824,0.3288,0.0658,0.1042,0.1658,models/2_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_13-53.mdl,170.5640,29.0667,1.7664,18.3810
